Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
286	9	Si5b5	B5b5	362	362	1	8	294	95	96	.	43.3
287	9	La5	A5	358	358	1	8	294	95	96	.	43.4
288	9	Sol5	G5	349	349	1	8	294	95	96	.	43.5
289	9	La5	A5	358	358	1	8	294	95	96	.	43.6
290	9	Fa5	F5	340	340	1	8	294	95	96	.	43.7
291	9	Sol5	G5	349	349	1	4	588	95	96	.	43.9
292	55			0	0	0	0	0	0	0		43.9
293	53			0	0	0	0	0	0	0		43.9
294	9			-1	-1	1	8	294	100	0		44
295	54			0	0	0	0	0	0	0	ussak@re5	44
296	9	Fa5	F5	340	340	3	8	882	95	96	Per	44.3
297	9	Sol5	G5	349	349	1	4	588	95	96	de 	44.5
298	9	Fa5	F5	340	340	1	8	294	99	96	i 	44.6
299	9	Sol5	G5	349	349	1	8	294	99	96		44.7
300	9	La5	A5	358	358	1	4	588	99	96		44.9
301	9	Sol5	G5	349	349	1	8	294	95	96		45
302	9	Sol5	G5	349	349	5	8	1471	99	96	zul	45.5
303	9	Sol5	G5	349	349	1	8	294	99	96		45.6
304	9	La5	A5	358	358	1	8	294	99	96		45.7
305	8	Sol5	G5	349	349	0	0	0	99	96		45.7
306	9	Fa5	F5	340	340	1	8	294	99	96		45.8
307	9	Mi5b1	E5b1	335	335	1	8	294	99	96		45.9
308	9	Re5	D5	327	327	1	8	294	95	96		46
309	9	La5	A5	358	358	1	4	588	99	96	met 	46.2
310	9	Sol5	G5	349	349	1	8	294	95	96		46.3
311	9	Sol5	G5	349	349	1	8	294	99	96	çe	46.4
312	9	Fa5	F5	340	340	1	8	294	95	96		46.5
313	9	Fa5	F5	340	340	1	8	294	99	96	kil	46.6
314	9	Mi5b1	E5b1	335	335	1	8	294	99	96		46.7
315	9	Mi5b1	E5b1	335	335	1	4	588	99	96		46.9
316	9	Re5	D5	327	327	1	8	294	95	96		47
317	9	Re5	D5	327	327	5	4	2941	95	96	miş 	48
318	55			0	0	0	0	0	0	0		48
319	9	Mi5b5	E5b5	331	331	3	8	882	95	96	kor	48.3
320	9	Mi5b5	E5b5	331	331	1	4	588	95	96	ka	48.5
321	9	Mi5b5	E5b5	331	331	1	8	294	99	96	rım 	48.6
322	9	Re5	D5	327	327	1	8	294	95	96		48.7
323	9	Re5	D5	327	327	1	4	588	99	96	ik	48.9
324	9	Do5	C5	318	318	1	8	294	95	96		49
325	9	Fa5	F5	340	340	1	8	294	99	96	ba	49.1
326	9	Sol5	G5	349	349	1	8	294	99	96		49.2
327	9	La5	A5	358	358	1	8	294	95	96		49.3
328	8	Si5b5	B5b5	362	362	0	0	0	95	96		49.3
329	9	La5	A5	358	358	1	8	294	99	96	li	49.4
330	9	Sol5	G5	349	349	1	8	294	95	96		49.5
331	9	Sol5	G5	349	349	1	8	294	99	96	me  	49.6
332	9	Fa5	F5	340	340	1	8	294	99	96		49.7
333	9	Sol5	G5	349	349	3	8	882	95	96		50
334	53			0	0	0	0	0	0	0		50
335	9	Re5	D5	327	327	1	4	588	95	96	SAZ	50.2
336	9	Si5b5	B5b5	362	362	1	8	294	95	96	.	50.3
337	9	La5	A5	358	358	1	8	294	95	96	.	50.4
338	9	Sol5	G5	349	349	1	8	294	95	96	.	50.5
339	9	La5	A5	358	358	1	8	294	95	96	.	50.6
340	9	Fa5	F5	340	340	1	8	294	95	96	.	50.7
341	9	Sol5	G5	349	349	1	4	588	95	96	.	50.9
342	9			-1	-1	1	8	294	100	0		51
343	53			0	0	0	0	0	0	0		51
344	54			0	0	0	0	0	0	0	ussak@re5	51
345	9	Fa5	F5	340	340	3	8	882	95	96	Per	51.3
346	9	Sol5	G5	349	349	1	4	588	95	96	de 	51.5
347	9	Fa5	F5	340	340	1	8	294	99	96	i 	51.6
348	9	Sol5	G5	349	349	1	8	294	99	96		51.7
349	9	La5	A5	358	358	1	4	588	99	96		51.9
350	9	Sol5	G5	349	349	1	8	294	95	96		52
351	9	Sol5	G5	349	349	5	8	1471	99	96	zul	52.5
352	9	Sol5	G5	349	349	1	8	294	99	96		52.6
353	9	La5	A5	358	358	1	8	294	99	96		52.7
354	8	Sol5	G5	349	349	0	0	0	99	96		52.7
355	9	Fa5	F5	340	340	1	8	294	99	96		52.8
356	9	Mi5b1	E5b1	335	335	1	8	294	99	96		52.9
357	9	Re5	D5	327	327	1	8	294	95	96		53
358	9	La5	A5	358	358	1	4	588	99	96	met 	53.2
359	9	Sol5	G5	349	349	1	8	294	95	96		53.3
360	9	Sol5	G5	349	349	1	8	294	99	96	çe	53.4
361	9	Fa5	F5	340	340	1	8	294	95	96		53.5
362	9	Fa5	F5	340	340	1	8	294	99	96	kil	53.6
363	9	Mi5b1	E5b1	335	335	1	8	294	99	96		53.7
364	9	Mi5b1	E5b1	335	335	1	4	588	99	96		53.9
365	9	Re5	D5	327	327	1	8	294	95	96		54
366	9	Re5	D5	327	327	5	4	2941	95	96	miş 	55
367	55			0	0	0	0	0	0	0		55
368	9	Mi5b5	E5b5	331	331	3	8	882	95	96	kor	55.3
369	9	Mi5b5	E5b5	331	331	1	4	588	95	96	ka	55.5
370	9	Mi5b5	E5b5	331	331	1	8	294	99	96	rım 	55.6
371	9	Re5	D5	327	327	1	8	294	95	96		55.7
372	9	Re5	D5	327	327	1	4	588	99	96	ik	55.9
373	9	Do5	C5	318	318	1	8	294	95	96		56
374	9	Do5	C5	318	318	1	4	588	99	96	ba	56.2
375	9	Si4b5	B4b5	309	309	1	8	294	95	96		56.3
376	9	Do5	C5	318	318	1	8	294	99	96	li	56.4
377	9	Re5	D5	327	327	1	8	294	95	96		56.5
378	9	Re5	D5	327	327	5	8	1470	95	96	me  	57
379	53			0	0	0	0	0	0	0		57
380	9	Re5	D5	327	327	1	4	588	95	96	SAZ	57.2
381	9	Mi5b5	E5b5	331	331	1	8	294	95	96	.	57.3
382	9	Re5	D5	327	327	1	8	294	95	96	.	57.4
383	9	Do5	C5	318	318	1	8	294	95	96	.	57.5
384	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	57.6
385	9	Do5	C5	318	318	1	8	294	95	96	.	57.7
386	9	Re5	D5	327	327	3	8	882	95	96	.	58
387	53			0	0	0	0	0	0	0		58
388	9	Re5	D5	327	327	3	8	882	95	96	Tit	58.3
389	9	Sol5	G5	349	349	1	4	588	95	96	re	58.5
390	9	Fa5#4	F5#4	344	344	1	8	294	99	96	rim 	58.6
391	9	Sol5	G5	349	349	1	8	294	99	96		58.7
392	9	La5	A5	358	358	1	4	588	99	96		58.9
393	9	Sol5	G5	349	349	1	8	294	95	96		59
394	9	Sol5	G5	349	349	5	8	1471	99	96	müc	59.5
395	9	Sol5	G5	349	349	1	8	294	99	96		59.6
396	9	Fa5	F5	340	340	1	8	294	99	96		59.7
397	9	Mi5b5	E5b5	331	331	1	8	294	99	96		59.8
398	9	Re5	D5	327	327	1	8	294	99	96		59.9
399	9	Do5	C5	318	318	1	8	294	95	96		60
400	53			0	0	0	0	0	0	0		60
401	9	Do5	C5	318	318	3	8	882	95	96	rim 	60.3
402	9	Re5	D5	327	327	1	8	294	99	96	gi	60.4
403	9	Mi5b5	E5b5	331	331	1	8	294	95	96		60.5
404	9	Re5	D5	327	327	1	8	294	99	96	bi 	60.6
405	9	Do5	C5	318	318	1	8	294	99	96		60.7
406	9	Si4b5	B4b5	309	309	1	8	294	99	96		60.8
407	9	La4	A4	305	305	1	8	294	99	96		60.9
408	9	Sol4	G4	296	296	1	8	294	95	96		61
409	9	La4	A4	305	305	5	8	1471	99	96	bak	61.5
410	53			0	0	0	0	0	0	0		61.5
411	9	La4	A4	305	305	1	8	294	99	96		61.6
412	9	Si4b5	B4b5	309	309	1	8	294	99	96		61.7
413	9	Do5	C5	318	318	1	8	294	99	96		61.8
414	9	Re5	D5	327	327	1	4	588	95	96		62
415	9	Si4b5	B4b5	309	309	1	4	588	99	96	tık	62.2
416	9	La4	A4	305	305	1	8	294	95	96		62.3
417	9	Sol4	G4	296	296	1	4	588	95	96	ça 	62.5
418	9	Mi5b5	E5b5	331	331	1	4	588	95	96	is	62.7
419	9	Re5	D5	327	327	1	4	588	99	96	tik	62.9
420	9	Do5	C5	318	318	1	8	294	95	96		63
421	9	Do5	C5	318	318	1	4	588	99	96	ba	63.2
422	9	Si4b5	B4b5	309	309	1	8	294	95	96		63.3
423	9	Do5	C5	318	318	1	4	588	95	96	li	63.5
424	9	Re5	D5	327	327	5	8	1470	95	96	me  	64
425	53			0	0	0	0	0	0	0		64
426	9	Re5	D5	327	327	1	4	588	95	96	SAZ	64.2
427	9	Mi5b5	E5b5	331	331	1	8	294	95	96	.	64.3
428	9	Re5	D5	327	327	1	8	294	95	96	.	64.4
429	9	Do5	C5	318	318	1	8	294	95	96	.	64.5
430	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	64.6
431	9	Do5	C5	318	318	1	8	294	95	96	.	64.7
432	9	Re5	D5	327	327	3	8	882	95	96	.	65
433	53			0	0	0	0	0	0	0		65
434	9	Re5	D5	327	327	3	8	882	95	96	Tit	65.3
435	9	Sol5	G5	349	349	1	4	588	95	96	re	65.5
436	9	Fa5#4	F5#4	344	344	1	8	294	99	96	rim 	65.6
437	9	Sol5	G5	349	349	1	8	294	99	96		65.7
438	9	La5	A5	358	358	1	4	588	99	96		65.9
439	9	Sol5	G5	349	349	1	8	294	95	96		66
440	9	Sol5	G5	349	349	5	8	1471	99	96	müc	66.5
441	9	Sol5	G5	349	349	1	8	294	99	96		66.6
442	9	Fa5	F5	340	340	1	8	294	99	96		66.7
443	9	Mi5b5	E5b5	331	331	1	8	294	99	96		66.8
444	9	Re5	D5	327	327	1	8	294	99	96		66.9
445	9	Do5	C5	318	318	1	8	294	95	96		67
446	53			0	0	0	0	0	0	0		67
447	9	Do5	C5	318	318	3	8	882	95	96	rim 	67.3
